N_targets,AUROC_median,AUROC_Q1,AUROC_Q3,BEDROC_median,EF1_median,AUROC_IQR,AUROC (median [IQR])
1,1.0,1.0,1.0,0.798,2.091,0.0,1.0 [1.0–1.0]
1,1.0,1.0,1.0,0.685,2.154,0.0,1.0 [1.0–1.0]
2,0.999,0.999,1.0,0.882,1.445,0.001,0.999 [0.999–1.0]
5,0.997,0.905,1.0,0.891,1.253,0.095,0.997 [0.905–1.0]
31,0.99,0.932,0.999,0.926,1.079,0.067,0.99 [0.932–0.999]
3,0.988,0.964,0.994,0.958,1.117,0.03,0.988 [0.964–0.994]
4,0.969,0.944,0.995,0.933,1.098,0.051,0.969 [0.944–0.995]
21,0.956,0.921,0.987,0.837,1.189,0.066,0.956 [0.921–0.987]
32,0.955,0.891,0.994,0.925,1.043,0.103,0.955 [0.891–0.994]
18,0.953,0.869,0.984,0.894,1.176,0.115,0.953 [0.869–0.984]
36,0.942,0.863,0.992,0.889,1.28,0.129,0.942 [0.863–0.992]
4,0.942,0.902,0.981,0.703,1.838,0.079,0.942 [0.902–0.981]
2,0.938,0.916,0.961,0.953,1.21,0.045,0.938 [0.916–0.961]
4,0.934,0.875,0.993,0.928,1.078,0.118,0.934 [0.875–0.993]
4,0.932,0.854,1.0,0.738,1.71,0.146,0.932 [0.854–1.0]
7,0.931,0.874,0.964,0.849,1.5,0.09,0.931 [0.874–0.964]
11,0.874,0.758,0.922,0.948,1.163,0.164,0.874 [0.758–0.922]
7,0.847,0.759,0.984,0.7,1.531,0.225,0.847 [0.759–0.984]
2,0.597,0.486,0.708,0.438,0.526,0.222,0.597 [0.486–0.708]
3,0.546,0.526,0.721,0.292,0.0,0.195,0.546 [0.526–0.721]
