uniprot_id,target_class,AUROC,endpoint
O43570,Lyase,0.7731,Ki/Kd only
P00734,Protease,0.9231,Ki/Kd only
P00742,Protease,0.9993,Ki/Kd only
P00747,Protease,0.9911,Ki/Kd only
P00749,Kinase,0.9804,Ki/Kd only
P00750,Protease,0.9496,Ki/Kd only
P00915,Lyase,0.8979,Ki/Kd only
P00918,Lyase,0.8968,Ki/Kd only
P04818,Lyase,1.0,Ki/Kd only
P07451,Lyase,0.9479,Ki/Kd only
P07550,GPCR,0.8148,Ki/Kd only
P07711,Protease,0.9944,Ki/Kd only
P07858,Protease,0.9986,Ki/Kd only
P07900,Chaperone,0.994,Ki/Kd only
P08238,Chaperone,0.418,Ki/Kd only
P08246,Protease,0.8628,Ki/Kd only
P08588,GPCR,1.0,Ki/Kd only
P08912,GPCR,0.9134,Ki/Kd only
P0DMS8,GPCR,0.9494,Ki/Kd only
P18031,GPCR,0.9952,Ki/Kd only
P22303,Hydrolase,0.8462,Ki/Kd only
P22748,Lyase,0.9694,Ki/Kd only
P29274,GPCR,0.8395,Ki/Kd only
P30542,GPCR,0.9607,Ki/Kd only
P35218,Lyase,0.9102,Ki/Kd only
P43166,Lyase,0.7216,Ki/Kd only
P43235,Protease,0.9382,Ki/Kd only
P56817,Protease,0.9764,Ki/Kd only
P62942,Isomerase,1.0,Ki/Kd only
Q02127,Oxidoreductase,1.0,Ki/Kd only
Q16790,Lyase,0.8086,Ki/Kd only
Q06187,,0.9509,Mixed (full)
P00533,,0.9298,Mixed (full)
O00329,,0.869,Mixed (full)
P56817,,0.9948,Mixed (full)
P29274,,0.9566,Mixed (full)
Q13547,,0.9505,Mixed (full)
P14416,,0.9967,Mixed (full)
P00918,,0.9015,Mixed (full)
P24941,,0.9185,Mixed (full)
P35968,,0.9658,Mixed (full)
P29597,,0.9944,Mixed (full)
Q9UBN7,,0.9701,Mixed (full)
P35372,,0.9902,Mixed (full)
P00915,,0.8874,Mixed (full)
P49841,,0.9773,Mixed (full)
Q16790,,0.848,Mixed (full)
P15056,,0.994,Mixed (full)
O60341,,0.9873,Mixed (full)
P30542,,0.9922,Mixed (full)
P00742,,0.9952,Mixed (full)
P48736,,0.9977,Mixed (full)
P0DMS8,,0.9537,Mixed (full)
P11802,,0.4893,Mixed (full)
P31645,,0.9062,Mixed (full)
P27487,,0.978,Mixed (full)
P42345,,0.9954,Mixed (full)
Q16539,,0.9962,Mixed (full)
O43570,,0.7727,Mixed (full)
P21554,,0.9948,Mixed (full)
P43405,,0.9902,Mixed (full)
Q8NER1,,0.9977,Mixed (full)
P22303,,0.892,Mixed (full)
P41143,,0.8944,Mixed (full)
Q12809,,0.9051,Mixed (full)
P14902,,0.9489,Mixed (full)
P09619,,0.9923,Mixed (full)
P35354,,0.7424,Mixed (full)
P07339,,1.0,Mixed (full)
P23975,,0.9974,Mixed (full)
P00519,,0.9798,Mixed (full)
P08246,,0.9689,Mixed (full)
P45452,,0.9937,Mixed (full)
P00797,,0.9991,Mixed (full)
O14757,,1.0,Mixed (full)
O15379,,0.9814,Mixed (full)
P14780,,0.8569,Mixed (full)
P41594,,0.7614,Mixed (full)
P37231,,0.8962,Mixed (full)
Q01959,,0.9996,Mixed (full)
Q92769,,0.9532,Mixed (full)
Q00987,,1.0,Mixed (full)
Q02127,,0.9969,Mixed (full)
P10275,,0.8098,Mixed (full)
Q9BY41,,0.9876,Mixed (full)
Q96GD4,,0.522,Mixed (full)
P25774,,0.903,Mixed (full)
P06493,,0.9609,Mixed (full)
P25103,,0.7757,Mixed (full)
P06276,,0.9518,Mixed (full)
Q96RI1,,0.9433,Mixed (full)
P01375,,1.0,Mixed (full)
P43235,,0.9434,Mixed (full)
O76074,,1.0,Mixed (full)
P07550,,0.865,Mixed (full)
P18031,,0.998,Mixed (full)
P08684,,0.9829,Mixed (full)
P11511,,0.9807,Mixed (full)
P43166,,0.7216,Mixed (full)
Q96P20,,0.988,Mixed (full)
P07711,,0.8709,Mixed (full)
P05106,,0.9447,Mixed (full)
P07477,,0.9913,Mixed (full)
P07900,,0.9831,Mixed (full)
P14867,,0.9957,Mixed (full)
P15538,,1.0,Mixed (full)
P08588,,0.9939,Mixed (full)
P25100,,0.9737,Mixed (full)
P09917,,0.8589,Mixed (full)
Q13546,,1.0,Mixed (full)
P45983,,0.8824,Mixed (full)
P22894,,0.94,Mixed (full)
P17948,,1.0,Mixed (full)
Q13574,,0.4686,Mixed (full)
P22748,,0.9723,Mixed (full)
P17252,,1.0,Mixed (full)
Q15078,,0.9217,Mixed (full)
Q9H244,,0.8387,Mixed (full)
P49354,,0.877,Mixed (full)
P08238,,0.893,Mixed (full)
Q16853,,0.3747,Mixed (full)
Q6V1X1,,0.7921,Mixed (full)
P49137,,0.9929,Mixed (full)
P12931,,0.9721,Mixed (full)
P07858,,0.9824,Mixed (full)
P42574,,0.8598,Mixed (full)
Q86TI2,,0.8717,Mixed (full)
Q9GZT9,,0.9847,Mixed (full)
P09960,,0.9311,Mixed (full)
P05177,,0.9732,Mixed (full)
P00749,,0.9934,Mixed (full)
P28074,,0.8826,Mixed (full)
P56524,,0.8353,Mixed (full)
P00338,,0.9573,Mixed (full)
P53350,,0.9423,Mixed (full)
P05186,,0.8894,Mixed (full)
Q9UHL4,,0.9413,Mixed (full)
P39900,,0.7852,Mixed (full)
P29475,,0.9417,Mixed (full)
Q93009,,0.8698,Mixed (full)
P00747,,0.9864,Mixed (full)
P12821,,0.8836,Mixed (full)
Q96DB2,,1.0,Mixed (full)
P45984,,1.0,Mixed (full)
P06213,,1.0,Mixed (full)
P11712,,0.8195,Mixed (full)
P00734,,0.7676,Mixed (full)
P28062,,1.0,Mixed (full)
P08912,,0.9147,Mixed (full)
P98170,,0.9904,Mixed (full)
P35228,,0.716,Mixed (full)
P23946,,0.8143,Mixed (full)
P29466,,0.9915,Mixed (full)
P48775,,0.9005,Mixed (full)
P14920,,0.9848,Mixed (full)
P35218,,0.8735,Mixed (full)
P48067,,0.8715,Mixed (full)
P47989,,0.9159,Mixed (full)
P20701,,0.9986,Mixed (full)
P11597,,0.8196,Mixed (full)
P04062,,0.3551,Mixed (full)
P62942,,1.0,Mixed (full)
O96017,,1.0,Mixed (full)
P08842,,0.855,Mixed (full)
P55210,,0.6541,Mixed (full)
P17706,,0.9833,Mixed (full)
Q9UQL6,,0.996,Mixed (full)
Q8IXJ6,,0.9119,Mixed (full)
P42785,,0.9949,Mixed (full)
P51812,,0.9419,Mixed (full)
P33261,,0.9106,Mixed (full)
P09237,,0.9433,Mixed (full)
P07099,,0.9934,Mixed (full)
Q96EB6,,0.9563,Mixed (full)
Q16531,,1.0,Mixed (full)
Q969S8,,0.9864,Mixed (full)
Q86WV6,,0.9408,Mixed (full)
P21397,,0.8231,Mixed (full)
Q9UKV0,,0.9207,Mixed (full)
P32297,,0.881,Mixed (full)
P35236,,0.9419,Mixed (full)
P33316,,1.0,Mixed (full)
P14324,,0.4265,Mixed (full)
P15144,,0.8638,Mixed (full)
Q00535,,1.0,Mixed (full)
O95551,,0.9983,Mixed (full)
P17612,,1.0,Mixed (full)
P00750,,0.8846,Mixed (full)
P07451,,0.9471,Mixed (full)
Q9UGN5,,1.0,Mixed (full)
Q8WUI4,,0.932,Mixed (full)
P14174,,0.8474,Mixed (full)
Q96LD8,,0.9375,Mixed (full)
P11509,,0.8405,Mixed (full)
Q9H7Z6,,0.9379,Mixed (full)
P51452,,1.0,Mixed (full)
P35869,,0.6016,Mixed (full)
P80365,,1.0,Mixed (full)
Q14790,,1.0,Mixed (full)
O95749,,0.5261,Mixed (full)
P62937,,1.0,Mixed (full)
Q9HCG7,,0.9759,Mixed (full)
P53985,,0.8967,Mixed (full)
Q13526,,0.8645,Mixed (full)
Q99571,,1.0,Mixed (full)
P36222,,0.6806,Mixed (full)
O95180,,1.0,Mixed (full)
P43003,,0.5455,Mixed (full)
Q9H2X9,,0.5063,Mixed (full)
P23526,,0.8365,Mixed (full)
P49721,,0.9091,Mixed (full)
Q8TEK3,,0.9583,Mixed (full)
Q9NZ08,,1.0,Mixed (full)
P11388,,0.8214,Mixed (full)
P08311,,0.648,Mixed (full)
Q6PL18,,1.0,Mixed (full)
P62993,,0.775,Mixed (full)
Q99895,,0.9437,Mixed (full)
Q6P179,,1.0,Mixed (full)
P20618,,0.9753,Mixed (full)
P14679,,0.3281,Mixed (full)
P05413,,0.375,Mixed (full)
P04066,,0.9683,Mixed (full)
P53582,,0.885,Mixed (full)
P34947,,0.8667,Mixed (full)
Q8IU80,,1.0,Mixed (full)
Q9BYT3,,1.0,Mixed (full)
P02766,,1.0,Mixed (full)
P00748,,0.6444,Mixed (full)
